Numer_zgloszenia;Numer_prawa_wylacznego;Data_Zgloszenia;Numer_BUP;Data_Publikacji_BUP;Numer_WUP;Data_Publikacji_WUP;Nazwa_znaku;Rodzaj_znaku;Uprawnieni;Miasto_uprawnionego;Kraj_uprawnionego;Pelnomocnicy;Klasyfikacja_nicejska;Klasyfikacja_wiedenska;Status_sprawy;
032399;023269;1932-09-05;;;;;BINACA;S;Ciba-Geigy AG, Coba-Geigy SA, Ciba-Geigy Limited;Bazylea;CH;PHZ "Polservice";NIC: 03 ;;Wygaśnięcie prawa ochronnego;
032479;023311;1932-09-28;;;12/1932;;WHITE LABEL;S;BACARDI & COMPANY LIMITED;Vaduz;LI;Polservice Sp. z o.o.   Polservice Sp. z o.o.   Polservice Sp. z o.o.   Polservice Sp. z o.o.   Polservice Sp. z o.o.   Polservice Sp. z o.o.   Polservice Sp. z o.o.   Polservice Sp. z o.o.;NIC: 33 ;;Wygaśnięcie prawa ochronnego;
032659;023358;1932-11-08;;;01/1933;1933-01-31;FIRESTONE;S;Bridgestone Licensing Services, Inc.;Nashville;US;Jadwiga Szewczyk Polservice Kancelaria Rzeczników Patentowych Sp. z o.o.;NIC: 12 ;VIE: 2705 ;Udzielenie prawa;
032806;024838;1932-12-14;;;07/08/1934;1934-08-31;COLAS;S;COLAS S.A.;BOULOGNE-BILLANCOURT CESEX;FR;Wanda Kulikowska Kulikowska i Kulikowski;NIC: 02 19 ;;Udzielenie prawa;
032848;023456;1932-12-21;;;02/1933;1933-02-28;ELIDA CITRON SPECIAL;SG;Unilever N.V.;Rotterdam;NL;Kulikowska & Kulikowski;NIC: 03 ;VIE: 0507 2601 2604 2705 ;Wygaśnięcie prawa ochronnego;
033034;023734;1933-01-31;;;;;MARVIN;S;Compagnie des Montres Marvin S.A.;La Chaux-de-Fonds;CH;PHZ "Polservice";NIC: 14 ;;Wygaśnięcie prawa ochronnego;
033247;023858;1933-03-17;;;07/1933;1933-08-31;GRANT'S STAND WHISKY;SG;William Grant & Sons Limited;Dufftown;GB;"Patpol" Sp. z o.o.;NIC: 33 ;VIE: 2401 2705 ;Wygaśnięcie prawa ochronnego;
033248;023754;1933-03-17;;;06/1933;1933-06-30;GRANDS BEST PROCURABLE;SG;William Grant & Sons Limited;Dufftown;GB;"Patpol";NIC: 33 ;VIE: 2401 2705 ;Wygaśnięcie prawa ochronnego;
033253;023695;1933-03-18;;;05/1933;1933-05-31;EVER READY;S;ENERGIZER LIMITED;Londyn;GB;"Polservice" Sp. z o.o.;NIC: 11 ;;Wygaśnięcie prawa ochronnego;
033490;024033;1933-05-11;;;;;SOLEX;S;Societe des Carburateurs Solex;Nanterre;FR;PHZ "Polservice";NIC: 09 10 14 ;;Wygaśnięcie prawa ochronnego;
033502;023977;1933-05-13;;;07/08/1933;1933-08-31;NIVEA;S;BEIERSDORF AG;HAMBURG;DE;Paweł Górnicki PATENT-SERVICE Biuro Ochrony Własności Intelektualnej;NIC: 01 03 05 29 30 ;;Udzielenie prawa;
033512;024170;1933-05-16;;;;;PERPARIN;S;Chinoin Gyógyszer és Vegyészeti Termekek Gyara R.T.;Budapeszt;HU;PHZ "Polservice";NIC: 01 03 05 ;;Wygaśnięcie prawa ochronnego;
033513;024171;1933-05-16;;;;;NOVATROPIN;S;Chinoin Gyógyszer és Vegyészeti Termekek Gyara R.T.;Budapeszt;HU;PHZ "Polservice";NIC: 05 ;;Wygaśnięcie prawa ochronnego;
033562;024329;1933-05-23;;;12/1933;;FYFFES;SG;Fyffes International;Dublin;IE;Jadwiga Szewczyk Polservice Kancelaria Rzeczników Patentowych Sp. z o.o.;NIC: 31 ;VIE: 2601 2602 ;Udzielenie prawa;
033602;024080;1933-05-29;;;;;VANTIT;S;Elkem a/s;Oslo;NO;"Patpol" Sp. z o.o.;NIC: 06 ;;Wygaśnięcie prawa ochronnego;
033715;024096;1933-06-23;;;;;DIPHENYL;S;Ciba-Geigy AG, Ciba-Geigy SA, Ciba-Geigy Limited;Bazylea;CH;PHZ "Polservice";NIC: 02 ;;Wygaśnięcie prawa ochronnego;
033906;024492;1933-08-02;;;11/1934;1934-11-30;POLDI-DIADUR;S;HUT POLDI USLECHTILE OCELI SPOL S R.O.;KLADNO;CZ;"Patpol" Sp. z o.o.;NIC: 06 ;;Wygaśnięcie prawa ochronnego;
033907;024493;1933-08-02;;;;;POLDI-RADECO;S;POLDI - Spojené ocelarny, narodni podnik;Kladno;CS;"Patpol" Sp. z o.o.;NIC: 06 ;;Wygaśnięcie prawa ochronnego;
033976;024191;1933-08-14;;;;;APIEZON;S;Apiezon Products Limited;Londyn;GB;PHZ "Polservice";NIC: 04 ;;Wygaśnięcie prawa ochronnego;
034028;024680;1933-08-28;;;;;SILVATOL;SG;Ciba-Geigy AG, Ciba-Geigy SA, Ciba-Geigy Limited;Bazylea;CH;PHZ "Polservice";NIC: 01 ;VIE: 2604 2705 ;Wygaśnięcie prawa ochronnego;
034281;025491;1933-10-23;;;;;CORYSE SALOME;S;Société Maurice Blanchet, Parfums de Luxe, Société Anonyme;Suresnes;FR;PHZ "Polservice";NIC: 03 21 ;;Wygaśnięcie prawa ochronnego;
034314;024853;1933-10-28;;;07/08/1934;1934-08-31;LIPTON;SG;UNILEVER N.V.;ROTTERDAM;NL;Kulikowska & Kulikowski;NIC: 30 ;VIE: 1103 2705 ;Wygaśnięcie prawa ochronnego;
034579;024964;1934-01-03;;;10/1934;1934-10-31;ROAMER;S;ROAMER WATCH CO. S.A.;SOLOTHURN;CH;Joanna Piłka PATPOL KANCELARIA PATENTOWA Sp. z o.o.;NIC: 14 ;;Udzielenie prawa;
034861;024687;1934-02-16;;;;;REDLER;S;Redler Conveyors Limited;Dubridge Works;GB;PHZ "Polservice";NIC: 07 ;;Wygaśnięcie prawa ochronnego;
034941;024802;1934-03-12;;;06/1934;1934-06-30;K.L.G.;SG;Smiths Industries Public Limited Company;Londyn;GB;Jan Wirzchoń & Partnerzy;NIC: 07 12 ;VIE: 2417 2705 ;Wygaśnięcie prawa ochronnego;
034968;024817;1934-03-17;;;07/08/1934;1934-08-31;ULTRAVON;S;HUNTSMAN ADVANCED MATERIALS (SWITZERLAND) GMBH;BAZYLEA;CH;Joanna Piłka PATPOL KANCELARIA PATENTOWA Sp. z o.o.;NIC: 01 02 03 ;;Udzielenie prawa;
035007;024862;1934-03-24;;;07/08/1934;1934-08-31;KREM NIVEA;SP;BEIERSDORF AG;HAMBURG;DE;Paweł Górnicki PATENT-SERVICE Biuro Ochrony Własności Intelektualnej;NIC: 03 ;VIE: 1903 ;Udzielenie prawa;
035259;025016;1934-05-16;;;11/1934;1934-11-30;A C;S;GENERAL MOTORS LLC;DETROIT;US;Bartosz Krakowiak POLSERVICE Kancelaria Rzeczników Patentowych Spółka z o.o.;NIC: 07 09 12 ;;Udzielenie prawa;
035272;024934;1934-05-18;;;10/1934;1934-10-31;ARROW;SG;CLUETT, PEABODY & CO.,INC./DELAWARE CORPORATION/;NOWY JORK;US;Jadwiga Szewczyk Polservice Kancelaria Rzeczników Patentowych Sp. z o.o.;NIC: 25 ;VIE: 2415 ;Udzielenie prawa;
035320;024962;1934-05-26;;;10/1934;1934-10-31;EUCERYT-EUCERYNA;S;NIVEA Polska Sp. z o.o.;Poznań;PL;Paweł Górnicki PATENT-SERVICE Biuro Ochrony Własności Intelektualnej;NIC: 01 03 05 ;;Udzielenie prawa;
035527;026124;1935-07-26;;;;;ELASTOCORN;S;Not available;;;;NIC: 03 05 ;;Wygaśnięcie prawa ochronnego;
035674;025112;1934-08-08;;;;;HERBEWO NO 36;S;Not available;;;;NIC: 34 ;;Wygaśnięcie prawa ochronnego;
035697;025335;1934-08-13;;;02/1935;1935-02-28;G M;S;GENERAL MOTORS LLC;Detroit;US;Bartosz Krakowiak POLSERVICE Kancelaria Rzeczników Patentowych Spółka z o.o.;NIC: 07 12 17 ;;Udzielenie prawa;
035702;025173;1934-08-14;;;;;G.E.C.;S;The General Electric Company p.l.c.;Londyn;GB;PHZ "Polservice";NIC: 07 08 09 ;;Wygaśnięcie prawa ochronnego;
035720;025399;1934-08-20;;;;;NIWA;S;Not available;;;;NIC: 01 02 03 04 05 06 07 19 ;;Wygaśnięcie prawa ochronnego;
035777;025208;1934-08-30;;;;;TIRAX;S;Not available;;;;NIC: 07 08 09 11 13 21 ;;Wygaśnięcie prawa ochronnego;
035805;025567;1934-09-06;;;;;SINGER SEWING MACHINES;S;Not available;;;;NIC: 25 26 ;;Wygaśnięcie prawa ochronnego;
035816;025209;1934-09-08;;;01/1935;1935-01-31;UNAX;S;F.L. Smidth & Co.A/S;Kopenhaga;DK;PHZ "Polservice";NIC: 07 08 ;;Wygaśnięcie prawa ochronnego;
035846;025721;1934-09-20;;;;;HERBEWO-ANTINICOTIN;S;Not available;;;;NIC: 34 ;;Wygaśnięcie prawa ochronnego;
035886;025252;1934-09-24;;;;;DIGILANID;S;Not available;;;;NIC: 03 05 ;;Wygaśnięcie prawa ochronnego;
035887;025253;1934-09-24;;;;;BELLERGAL;S;Sandoz A.G.;Bazylea;CH;"Patpol" Sp. z o.o.;NIC: 05 ;;Wygaśnięcie prawa ochronnego;
035888;025254;1934-09-24;;;;;CALCIBRONAT;S;Not available;;;;NIC: 03 05 ;;Wygaśnięcie prawa ochronnego;
036005;025552;1934-10-22;;;;;BLUE CORK;S;Not available;;;;NIC: 34 ;;Wygaśnięcie prawa ochronnego;
036049;025555;1934-10-29;;;;;VITASCORBOL;S;Not available;;;;NIC: 03 05 ;;Wygaśnięcie prawa ochronnego;
036057;025395;1934-10-30;;;03/1935;1935-03-30;OMEGA;SG;Omega SA;Bienne;CH;PHZ "Polservice";NIC: 14 ;VIE: 2807 ;Wygaśnięcie prawa ochronnego;
036193;025949;1934-11-15;;;;;POLOPLAST;S;Fabryka Kosmetyków "Pollena-Lechia" S.A.;Poznań;PL;;NIC: 05 ;;Wygaśnięcie prawa ochronnego;
036459;025814;1935-01-24;;;07/08/1935;1935-08-31;SAURER;S;SAURER AG;WATTWIL;CH;WANDA KULIKOWSKA;NIC: 07 12 ;;Udzielenie prawa;
036470;025690;1935-01-08;;;06/1935;1935-06-28;;G;GENERAL MOTORS CORPORATION;DETROIT;US;PHZ "Polservice";NIC: 12 ;VIE: 2401 ;Wygaśnięcie prawa ochronnego;
036471;025706;1935-01-08;;;;;OLDSMOBILE;S;General Motors Corporation;Detroit;US;PHZ "Polservice";NIC: 12 ;;Wygaśnięcie prawa ochronnego;
036492;025774;1935-01-14;;;;;CARNATION;SG;Société des Produits Nestle SA;Vevey;CH;PHZ "Polservice";NIC: 29 ;VIE: 0505 2507 2604 2705 ;Wygaśnięcie prawa ochronnego;
036517;027921;1935-01-17;;;;;FORDSON;S;Ford Motor Company Limited;Brentwood;GB;PHZ "Polservice";NIC: 12 ;;Wygaśnięcie prawa ochronnego;
036537;025726;1935-01-21;;;06/1935;1935-06-28;MEGGER;S;Megger Instruments Limited;Dover;GB;;NIC: 09 ;;Udzielenie prawa;
036591;026424;1935-01-28;;;03/1936;1936-03-31;DARMOL;SG;DR A. & L. SCHMIDGALL;WIEDEŃ;AT;Ludwika Przybyło PATPOL Sp. z o.o.;NIC: 05 ;VIE: 2601 2603 2604 2705 ;Wygaśnięcie prawa ochronnego;
036685;026075;1935-02-15;;;;;BLUE GILLETTE BLADE;SG;Gillette U.K. Limited;Londyn;GB;"Patpol" Sp. z o.o.;NIC: 08 ;VIE: 0201 2507 2604 2705 ;Wygaśnięcie prawa ochronnego;
036942;025994;1935-04-01;;;;;GENALEX;SG;Not available;;;;NIC: 07 08 09 10 11 13 14 19 21 ;;Wygaśnięcie prawa ochronnego;
037007;026875;1935-04-13;;;;;BRICO;S;Brico Engineering Limited;Coventry;GB;PHZ "Polservice";NIC: 06 ;;Wygaśnięcie prawa ochronnego;
037333;026289;1935-06-17;;;01/1936;1936-01-31;CADUM;S;CADUM;PARYŻ;FR;Sławomira Łazewska Łazewska i Łazewski Spółka Jawna;NIC: 01 03 ;;Wygaśnięcie prawa ochronnego;
037353;026777;1935-06-22;;;;;SIROP FAMEL;S;Maatschappij voor Chemische en Pharmaceutische Producten B.V.;Hoevelaken;NL;PHZ "Polservice";NIC: 05 ;;Wygaśnięcie prawa ochronnego;
037360;026589;1935-06-24;;;;;AMAL;S;IMI Amal Limited;Birmingham;GB;"Patpol" Sp. z o.o.;NIC: 07 ;;Wygaśnięcie prawa ochronnego;
037375;026696;1935-06-28;;;05/1936;1936-05-30;COR-TEN;S;UNITED STATES STEEL CORPORATION;PITTSBURGH;US;Bartosz Krakowiak Polservice Spółka z o.o.;NIC: 06 ;;Wygaśnięcie prawa ochronnego;
037484;029013;1935-07-19;;;;;VIKING;S;Sandvik Aktiebolag;Sandviken;SE;PHZ "Polservice" ZT-3/3908;NIC: 07 08 ;;Wygaśnięcie prawa ochronnego;
037528;026125;1935-07-26;;;;;ELASTOFURUN;S;Not available;;;;NIC: 03 05 ;;Wygaśnięcie prawa ochronnego;
037529;026126;1935-07-26;;;;;ELASTOPLAST;S;Not available;;;;NIC: 03 05 ;;Wygaśnięcie prawa ochronnego;
037530;026127;1935-07-26;;;;;ELASTOCAPSIL;S;Not available;;;;NIC: 03 05 ;;Wygaśnięcie prawa ochronnego;
037542;026376;1935-07-30;;;;;IRIDINOID;S;Not available;;;;NIC: 16 ;;Wygaśnięcie prawa ochronnego;
037550;026326;1935-08-01;;;02/1936;1936-02-29;SANDEMAN;S;PORTUGAL VENTURE LIMITED;LONDYN;GB;Jadwiga Szewczyk Polservice Sp. z o.o.;NIC: 33 ;;Wygaśnięcie prawa ochronnego;
037640;026623;1935-08-21;;;04/1936;1936-04-30;ANALAR;S;VWR INTERNATIONAL LTD;LUTTERWORTH;GB;;NIC: 01 ;;Udzielenie prawa;
037713;026414;1935-09-04;;;;;VAN HEUSEN;S;Not available;;;;NIC: 25 26 ;;Wygaśnięcie prawa ochronnego;
037739;026430;1935-09-11;;;;;ISOFLEX;S;Not available;;;;NIC: 17 ;;Wygaśnięcie prawa ochronnego;
037851;026630;1935-10-08;;;;;EAGLE;S;Not available;;;;NIC: 16 20 21 ;;Wygaśnięcie prawa ochronnego;
037896;026434;1935-10-18;;;;;MULTIGRAPH;S;Not available;;;;NIC: 07 09 10 16 ;;Wygaśnięcie prawa ochronnego;
037915;026470;1935-10-22;;;03/1936;1936-03-31;ASPRO;S;BAYER CONSUMER CARE AG;BAZYLEA;CH;;NIC: 05 ;;Udzielenie prawa;
037927;026679;1935-10-26;;;;;GILDE;S;Not available;;;;NIC: 08 09 10 11 13 14 ;;Wygaśnięcie prawa ochronnego;
037998;029115;1935-11-07;;;09/1938;1938-09-30;TAMPAX;S;THE PROCTER & GAMBLE COMPANY;CINCINNATI;US;Wanda Kulikowska Kulikowska i Kulikowski;NIC: 05 ;;Udzielenie prawa;
038271;027791;1935-12-23;;;;;CORDON VERT;SG;G.H. Mumm & Cie, Societe Vinicole de Champagne, Successeur;Reims;FR;PHZ "Polservice";NIC: 32 33 ;VIE: 2403 2417 2604 2605 2705 2901 ;Wygaśnięcie prawa ochronnego;
038272;027792;1935-12-23;;;;;CORDON ROUGE;SG;G.H. Mumm & Cie, Societe Vinicole de Champagne, Successeur;Reims;FR;PHZ "Polservice";NIC: 32 33 ;VIE: 2403 2417 2604 2605 2705 2901 ;Wygaśnięcie prawa ochronnego;
038282;027554;1935-12-27;;;12/1936;;GOLDECK;S;Schlumberger Wein- und Sektkellerei Aktiengesellschaft;Wiedeń;AT;"Polservice" sp. z o.o.;NIC: 33 ;;Wygaśnięcie prawa ochronnego;
038438;026795;1936-01-22;;;;;SANDAMET;S;Not available;;;;NIC: 06 19 ;;Wygaśnięcie prawa ochronnego;
038557;026877;1936-02-07;;;06/1936;1936-06-30;FORD;S;FORD MOTOR COMPANY LIMITED;ESSEX;GB;;NIC: 12 ;;Udzielenie prawa;
038621;026821;1936-02-21;;;;;RAYBESTOS;SG;Raybestos Products Company;Crawfordsville;US;"Polservice" Sp. z o.o.;NIC: 12 ;VIE: 2705 ;Wygaśnięcie prawa ochronnego;
038639;027006;1936-02-24;;;;;COLGATE;SG;Not available;;;;NIC: 03 05 ;;Wygaśnięcie prawa ochronnego;
038839;027185;1936-03-27;;;;;EXCHANGE;SG;Sunkist Growers Inc.;Sherman Oaks;US;"Patpol" Sp. z o.o.;NIC: 29 ;VIE: 2417 2604 2705 ;Wygaśnięcie prawa ochronnego;
038856;027187;1936-03-30;;;07/08/1936;1936-08-31;g;G;AKZO NOBEL COATINGS INTERNATIONAL B.V.;ARNHEM;NL;;NIC: 02 ;VIE: 0505 1501 ;Udzielenie prawa;
038929;027390;1936-04-06;;;11/1936;1936-11-30;KIWI;S;S.C. JOHNSON & SON, INC.;RACINE;US;Przemysław Samoder;NIC: 03 ;;Udzielenie prawa;
038932;027271;1936-04-07;;;09/1936;1936-09-30;COGNAC;SG;SOCIÉTÉ JAS HENNESSY AND CIE;Cognac;FR;Marcin Fijałkowski;NIC: 33 ;VIE: 0209 0513 2301 2604 2705 ;Udzielenie prawa;
038934;027252;1936-04-07;;;;;BITUROS;SG;Not available;;;;NIC: 02 03 05 16 ;;Wygaśnięcie prawa ochronnego;
039044;027192;1936-04-30;;;09/1936;1936-09-30;METRO GOLDWYN MAYER;SG;Metro-Goldwyn-Mayer Lion Corp.;Beverly Hills;US;Bartosz Krakowiak;NIC: 09 ;VIE: 0306 0513 1603 2503 2601 2705 ;Udzielenie prawa;
039075;027465;1936-05-06;;;11/1936;1936-11-30;;G;INVESTMENT AB KINNEVIK;SZTOKHOLM;SE;Polservice Sp. z o.o.;NIC: 06 ;VIE: 0505 2601 ;Wygaśnięcie prawa ochronnego;
039080;027373;1936-05-06;;;10/1936;1936-10-31;AERO;S;SOCIETE DES PRODUITS NESTLE S.A.;VEVEY;CH;"Patpol" Sp. z o.o.;NIC: 30 ;;Wygaśnięcie prawa ochronnego;
039094;027537;1936-05-08;;;;;CHOCOLAT LEINDT;SG;Chokoladefabriken Lindt & Sprüngli Aktiengesellschaft;Kilchberg;CH;PHZ "Polservice";NIC: 30 ;VIE: 0403 2305 2705 ;Wygaśnięcie prawa ochronnego;
039109;027744;1936-05-11;;;;;EMITRON;SG;Not available;;;;NIC: 08 09 10 11 13 21 ;;Wygaśnięcie prawa ochronnego;
039164;027539;1936-05-22;;;;;COLORCRETE;SG;Not available;;;;NIC: 06 19 ;;Wygaśnięcie prawa ochronnego;
039271;027304;1936-06-15;;;;;SEAGERS;S;Allied Domecq Spirits & Wine Limited;Bristol;GB;"Patpol" Sp. z o.o.;NIC: 33 ;;Wygaśnięcie prawa ochronnego;
039369;027309;1936-06-30;;;;;MULTILITH;S;AM International,Inc.;Los Angeles;US;"Patpol" Sp. z o.o.;NIC: 02 07 ;VIE: 2705 ;Wygaśnięcie prawa ochronnego;
039436;028981;1936-07-10;;;;;Orion;S;ORION RADIO ES VILLAMOSSAGI VALLALAT;BUDAPESZT;HU;"Patpol" Sp. z o.o.;NIC: 07 09 21 05 ;;Wygaśnięcie prawa ochronnego;
039445;027443;1936-07-13;;;;;ANATOFORM;S;NA;NA;ZZ;;NIC: 09 12 ;;Wygaśnięcie prawa ochronnego;
039501;027545;1936-07-24;;;12/1936;1800-01-01;RENOLD;S;RENOLD PUBLIC LIMITED COMPANY;MANCHESTER;GB;"Patpol" Sp. z o.o.;NIC: 07 08 ;;Wygaśnięcie prawa ochronnego;
039522;027565;1936-07-29;;;;;CHAMPION X;SG;Champion Spark Plug Company;Toledo;US;PHZ "Polservice";NIC: 07 12 ;VIE: 2417 2705 ;Wygaśnięcie prawa ochronnego;
039630;027751;1936-08-24;;;02/1937;1937-02-27;KERR;S;KERR CORPORATION (DELAWARE CORPORATION);ORANGE;US;rzecz. pat. Joanna  Kowalewska;NIC: 05 10 ;;Udzielenie prawa;
039685;027829;1936-09-03;;;;;LIPTON'S TEA;S;Not available;;;;NIC: 29 30 ;;Wygaśnięcie prawa ochronnego;
039706;027476;1936-09-07;;;;;LASOFAN-LASOTASMA;S;Not available;;;;NIC: 03 05 ;;Wygaśnięcie prawa ochronnego;
039713;028361;1936-09-08;;;;;AUTO-STROP;S;The Gillette Company;Boston;US;PHZ "Polservice" ZT-3/2562;NIC: 08 ;;Wygaśnięcie prawa ochronnego;
039747;027849;1936-09-15;;;;;CALIFORANGE;SG;Sunkist Growers Inc.;Sherman Oaks, Kalifornia;US;Patpol Sp. z o.o.;NIC: 32 ;VIE: 2705 ;Wygaśnięcie prawa ochronnego;
039778;027868;1936-09-19;;;;;ZENITH;SG;Zenith Electronics Corporation /a Delaware corporation/;Glenview;US;"Patpol" Sp. z o.o.;NIC: 08 09 10 11 13 21 ;VIE: 0115 2705 ;Wygaśnięcie prawa ochronnego;
039854;027884;1936-10-03;;;03/1937;1937-03-31;IMO;SG;IMO AKTIEBOLAG;SZTOKHOLM;SE;Magdalena Pietrosiuk;NIC: 07 ;VIE: 0115 2705 ;Udzielenie prawa;
039880;027718;1936-10-08;;;;;D C P D;SG;CHRYSLER CORPORATION /DELAWARE CORPORATION/;HIGHLAND PARK, MICHIGAN;US;Jan Wierzchoń & Partnerzy;NIC: 12 ;VIE: 2705 ;Wygaśnięcie prawa ochronnego;
039887;027574;1936-10-09;;;;;ALKA-SELTZER;S;BAYER CORPORATION;ELKHART;US;PHZ "Polservice";NIC: 05 ;;Wygaśnięcie prawa ochronnego;
039950;027969;1936-10-22;;;04/1937;1937-04-30;YARDLEY;S;MUELHENS GMBH AND CO. KG;KOELN;DE;Monika Anusiewicz PATPOL Sp. z o.o.;NIC: 03 ;;Wygaśnięcie prawa ochronnego;
039951;027970;1936-10-22;;;04/1937;1937-04-30;;G;MUELHENS GMBH AND CO.;KOELN;DE;"Patpol" Sp. z o.o.;NIC: 03 ;VIE: 0207 0301 0703 ;Wygaśnięcie prawa ochronnego;
039954;027776;1936-10-22;;;02/1937;1937-02-27;VICKS;S;THE PROCTER & GAMBLE COMPANY;CINCINNATI;US;Wanda Kulikowska;NIC: 03 05 ;;Udzielenie prawa;
040049;028245;1936-11-03;;;07/08/1937;1937-08-31;ELIZABETH ARDEN;S;FD MANAGEMENT, INC. (A DELAWARE CORPORATION);STAMFORD;US;;NIC: 03 05 ;;Udzielenie prawa;
040098;027958;1936-11-10;;;04/1937;1937-04-30;ELCARBO;S;CARBORUNDUM-ELECTRITE A.S.;BENATKY N/JIZEROU;CZ;;NIC: 03 07 08 09 ;;Udzielenie prawa;
040154;027820;1936-11-20;;;03/1937;1937-03-31;KOH-I-NOOR;SG;KOH-I-NOOR HARDTMUTH A.S.;ČESKÉ BUDEJOVICE;CZ;Agnieszka Skrzypczak PATPOL Spółka z o.o.;NIC: 16 ;VIE: 0101 0403 0901 2604 2705 ;Udzielenie prawa;
040169;028050;1936-11-25;;;;;OVALTINE;S;Wander AG /Wander S.A., Wander Ltd./;Berno;CH;PHZ "Polservice";NIC: 03 05 29 30 31 ;;Wygaśnięcie prawa ochronnego;
040190;028085;1936-11-28;;;06/1937;1937-06-30;LIBBY'S;SG;Libby's Brand Holding Limited;Road Town;VG;Ludwika Przybyło;NIC: 29 30 ;VIE: 2705 ;Udzielenie prawa;
040192;027799;1936-11-28;;;;;UROMAT;SG;Not available;;;;NIC: 01 03 04 05 16 ;;Wygaśnięcie prawa ochronnego;
040193;027937;1936-11-30;;;04/1937;1937-04-30;GRANT'S;S;William Grant & Sons Limited;Dufftown;GB;"Polservice" Sp. z o.o.;NIC: 33 ;;Wygaśnięcie prawa ochronnego;
040236;028086;1936-12-04;;;;;SANFORIZED;S;Cluett, Peabody & Co., Inc.;Nowy Jork;US;PHZ "Polservice";NIC: 22 24 ;;Wygaśnięcie prawa ochronnego;
040308;028289;1936-12-18;;;;;HUGIN;S;Kooperativa förbundet /KF/,ekonomisk förening;Sztokholm;SE;PHZ "Polservice" ZT-3/6407;NIC: 09 ;;Wygaśnięcie prawa ochronnego;
040360;027914;1936-12-30;;;;;BENERVA;S;F. HOFFMANN-LA ROCHE AG.;BAZYLEA;CH;"Patpol" Sp. z o.o.;NIC: 03 05 ;;Wygaśnięcie prawa ochronnego;
040376;027917;1937-01-04;;;;;BELLODGIA;S;PARFUMS CARON;PARYŻ;FR;PHZ "Polservice";NIC: 03 ;;Wygaśnięcie prawa ochronnego;
040377;027918;1937-01-04;;;04/1937;1937-04-30;FLEURS DE ROCAILLE;S;PARFUMS CARON;PARYŻ;FR;Jadwiga Szewczyk Polservice Sp. z o.o.;NIC: 03 21 ;;Udzielenie prawa;
040415;028119;1937-01-09;;;;;CANADA DRY'S SPARKLING WATER;SG;CANADA DRY CORPORATION LIMITED;ATHY, COUNTY KILDARE;IE;"Patpol" Sp. z o.o.;NIC: 32 ;VIE: 1907 2401 2601 2705 ;Wygaśnięcie prawa ochronnego;
040416;028291;1937-01-09;;;07/08/1937;1937-08-31;g;G;COOPER BRANDS, INC.;HOUSTON;US;Monika Anusiewicz PATPOL Spółka z o.o.;NIC: 07 ;VIE: 0201 1407 2501 2507 2601 2604 2705 ;Wygaśnięcie prawa ochronnego;
040619;028558;1937-02-15;;;01/1938;1938-01-31;ASEPTINE;S;Cooper Cosmetics SA;Genewa;CH;Patpol" Sp. z o.o.;NIC: 03 ;;Wygaśnięcie prawa ochronnego;
040648;028722;1937-02-19;;;;;BORUTA-ZGIERZ;SG;Zakłady Przemysłu Barwników "Boruta" Spółka Akcyjna;Zgierz;PL;;NIC: 01 02 ;VIE: 0307 2601 2705 ;Wygaśnięcie prawa ochronnego;
040713;028392;1937-02-26;;;09/1937;1937-09-30;ORGANON;S;MERCK SHARP & DOHME B.V.;Haarlem;PL;Monika Zielińska DRZEWIECKI, TOMASZEK &amp  WSPÓŁNICY SPÓŁKA KOMANDYTOWA;NIC: 05 ;;Wygaśnięcie prawa ochronnego;
040732;028488;1937-03-02;;;;;SANFOR;S;Cluett, Peabody & Co., Inc./Delaware Corporation/;Nowy Jork;US;PHZ "Polservice";NIC: 24 ;;Wygaśnięcie prawa ochronnego;
040737;028374;1937-03-03;;;09/1937;1937-09-30;LUCAS;S;LUCAS INDUSTRIES LIMITED;SOLIHULL;GB;Magdalena Pietrosiuk;NIC: 09 12 ;;Udzielenie prawa;
040738;029471;1937-03-03;;;;;LUCAS;SG;Lucas Industries public limited company;Birmingham;GB;PHZ "Polservice";NIC: 07 11 ;VIE: 0301 1801 2103 ;Wygaśnięcie prawa ochronnego;
040838;028130;1937-03-18;;;;;LE VERTIGE;SG;Not available;;;;NIC: 03 05 ;;Wygaśnięcie prawa ochronnego;
040840;028317;1937-03-18;;;;;EAX-LAX;S;Ex - Lax Limited;Wokingham,Berkshire;GB;"Patpol" Sp. z o.o.;NIC: 05 ;;Wygaśnięcie prawa ochronnego;
040858;028281;1937-03-22;;;;;EMISCOPE;S;Not available;;;;NIC: 09 10 ;;Wygaśnięcie prawa ochronnego;
040875;028516;1937-03-24;;;;;LATICEL;S;Not available;;;;NIC: 03 05 17 22 23 24 27 ;;Wygaśnięcie prawa ochronnego;
041104;029157;1937-04-29;;;;;GYPROC;S;BPB UNITED KINGDOM LIMITED;SLOUGH;GB;"Patpol" Sp. z o.o.;NIC: 19 ;;Wygaśnięcie prawa ochronnego;
041386;028666;1937-06-21;;;04/1938;1938-04-30;LYOFIX;S;Ciba Specialty Chemicals Holding Inc.;Bazylea;CH;"Polservice" Sp. z o.o.;NIC: 01 ;;Wygaśnięcie prawa ochronnego;
041400;028591;1937-06-25;;;;;HOVIS;S;Rank Hovis Limited;Windsor;GB;"Patpol" Sp. z o.o.;NIC: 30 ;;Wygaśnięcie prawa ochronnego;
